ID,gender,race,ethnicity,age years,ages,genders,baths,lot,dishwash,cwasher,swim
7,M,W,N,5,292805..................................,FMM.................,2,10000,1,1,0
38,M,W,N,4,4104....................................,FM..................,1,-6,1,1,0
116,M,W,N,4,43450204................................,FMMM................,2,7132,1,1,0
125,M,W,N,5,353208070503............................,MFMMMF..............,1,44000,1,1,0
172,M,W,N,5,43421917130501..........................,MFFMMMF.............,1,10164,1,1,0
244,M,O,N,3,35370302................................,MFMM................,1,5200,1,1,3
343,M,O,N,3,38390301................................,MFMF................,1,5000,1,1,0
350,M,W,N,4,3432050400..............................,MFMMM...............,2,44000,1,1,0
400,M,B,N,4,333104..................................,MFM.................,1,7200,1,1,2
409,M,O,M,4,2827100412..............................,MFMMF...............,1,4800,1,1,0
469,M,O,O,3,222203014944............................,MFMFMF..............,1,6000,1,1,0
507,M,W,N,4,38350804................................,FMFM................,1,5500,0,1,0
553,M,W,N,3,3431080403..............................,MFFMM...............,2,22000,1,1,0
560,M,W,N,4,32300402................................,MFMF................,2,11000,0,1,0
569,M,B,N,3,727311040301............................,MFFMMF..............,2,11000,1,1,2
583,M,W,M,3,230320..................................,FMM.................,1,11000,1,1,0
652,M,W,N,4,240429..................................,FMM.................,3,132000,1,1,2
706,M,A,N,4,412804..................................,FMM.................,1,-6,0,0,0
747,M,W,N,3,253103..................................,FMM.................,2,14000,1,1,0
754,M,W,M,4,2104....................................,FM..................,1,5500,0,1,0
766,M,O,N,5,36360501................................,MFMM................,2,-6,0,1,0
864,M,A,N,4,333804..................................,FMM.................,3,10100,1,1,0
